"id","age","learn_freq","totalmin","nbr_freq","nbr_id","mode"
120207,13,0,273,8,120203,"Horizontal Intrafamilial"
120207,13,0,273,5,120204,"Horizontal Intrafamilial"
120207,13,0,273,4,120225,"Horizontal Extrafamilial"
120207,13,0,273,4,120229,"Horizontal Extrafamilial"
120207,13,0,273,8,120224,"Horizontal Extrafamilial"
120207,13,0,273,3,120249,"Horizontal Extrafamilial"
120207,13,0,273,4,120208,"Horizontal Extrafamilial"
120207,13,0,273,3,120244,"Horizontal Intrafamilial"
120207,13,0,273,8,120238,"Oblique Intrafamilial"
120207,13,0,273,12,120240,"Horizontal Intrafamilial"
120207,13,0,273,3,120254,"Horizontal Extrafamilial"
120207,13,0,273,1,120251,"Oblique Extrafamilial"
120207,13,0,273,1,120222,"Oblique Intrafamilial"
120207,13,0,273,2,120258,"Oblique Extrafamilial"
120207,13,0,273,1,120231,"Oblique Intrafamilial"
120207,13,9,273,9,231,"Horizontal Extrafamilial"
